year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Leclerc, José",600917,Rangers,TEX,R,88.1,92,812,7.449541284,0.113300493,CH,Changeup,23.4,-30.6,-7.3,-24,12.4,-14.8,-2.4,-16,0.004115226,0.094650206
2024,"Englert, Mason",669438,Tigers,DET,R,92.7,91,332,3.04587156,0.274096386,FF,4-Seam Fastball,16.7,-16,-0.8,-5,10.3,-7.6,2.7,35,0.348484848,0.845959596
2024,"Chavez, Jesse",445926,Braves,ATL,R,85.2,91,747,6.981308411,0.121820616,CH,Changeup,35.2,-34,1.2,4,15.9,-14.7,1.2,8,0.674897119,0.650205761
2024,"González, Victor",624647,Yankees,NYY,L,86.2,91,386,3.509090909,0.235751295,CH,Changeup,32.9,-35.1,-2.2,-6,17.6,-15.1,2.5,17,0.259259259,0.860082305
2024,"Pearson, Nate",663878,Cubs,CHC,R,80.7,91,735,6.681818182,0.123809524,CU,Curveball,54.9,-51.1,3.8,7,12.1,9,3.2,35,0.763819095,0.809045226
2024,"Whitlock, Garrett",676477,Red Sox,BOS,R,84.4,91,321,3,0.283489097,CH,Changeup,36.5,-34.1,2.4,7,18.5,-14.5,3.9,27,0.78600823,0.983539095
2024,"Birdsong, Hayden",806185,Giants,SF,R,88.5,91,553,5.027272727,0.164556962,CH,Changeup,36.2,-29.1,7.2,25,10.8,-14.1,-3.3,-23,0.987654321,0.053497942
2024,"Maeda, Kenta",628317,Tigers,DET,R,90.4,91,1363,12.50458716,0.06676449,SI,Sinker,24.2,-25.4,-1.2,-5,15.2,-14.8,0.5,3,0.397111913,0.548736462
2024,"Howard, Spencer",675921,Guardians,CLE,R,80.1,91,537,5.018691589,0.169459963,CH,Changeup,33.9,-34.7,-0.9,-3,13.7,-13.2,0.4,3,0.419753086,0.502057613
2024,"Luzardo, Jesús",666200,Marlins,MIA,L,94.6,90,1083,10.02777778,0.083102493,SI,Sinker,19.1,-22.5,-3.5,-15,17,-15,2,13,0.129963899,0.880866426
2024,"Thornton, Trent",663423,Mariners,SEA,R,94.8,90,756,6.872727273,0.119047619,SI,Sinker,21.9,-23.3,-1.4,-6,11.9,-15.4,-3.4,-22,0.375451264,0.072202166
2024,"France, J.P.",641585,Astros,HOU,R,74.2,90,466,4.314814815,0.193133047,CU,Curveball,70.2,-61.4,8.8,14,9.4,11.5,-2.2,-19,0.994974874,0.231155779
2024,"Strahm, Matt",621381,Phillies,PHI,L,93.5,90,637,5.898148148,0.141287284,SI,Sinker,20.8,-24.3,-3.5,-15,17.2,-15.4,1.8,12,0.129963899,0.844765343
2024,"Kelly, Merrill",518876,D-backs,AZ,R,90.8,90,361,3.311926606,0.249307479,FC,Cutter,21.2,-24.8,3.6,14,1,1.6,-2.6,-167,0.9375,0.13125
2024,"Bradish, Kyle",680694,Orioles,BAL,R,94.4,89,674,6.183486239,0.132047478,FF,4-Seam Fastball,16.7,-14.1,-2.6,-18,3,-6.6,-9.6,-145,0.133838384,0
2024,"Tonkin, Michael",543859,Yankees,NYY,R,80.7,89,918,8.345454545,0.096949891,ST,Sweeper,41.4,-40.5,1,2,16.1,15,1.1,7,0.566666667,0.691666667
2024,"Blackburn, Paul",621112,Athletics,OAK,R,79.6,88,804,7.309090909,0.109452736,CU,Curveball,59.9,-53,6.9,13,7.1,8.7,-1.6,-18,0.954773869,0.316582915
2024,"Allen, Logan",663531,D-backs,AZ,L,91.3,88,470,4.311926606,0.187234043,FF,4-Seam Fastball,16.5,-16,-0.5,-3,8.2,-6.5,1.7,26,0.409090909,0.714646465
2024,"Hoffman, Jeff",656546,Phillies,PHI,R,90.4,88,691,6.398148148,0.127351664,FS,Split-Finger,29.3,-30.5,-1.2,-4,15.7,-11.4,4.4,38,0.333333333,0.966666667
2024,"Kopech, Michael",656629,Dodgers,LAD,R,91.2,88,795,7.293577982,0.110691824,FC,Cutter,29.5,-24.1,-5.4,-22,4,2.3,1.7,75,0.01875,0.8125
2024,"Verlander, Justin",434378,Astros,HOU,R,84.2,87,962,8.907407407,0.09043659,CH,Changeup,28,-28.7,-0.7,-3,12.8,-11.7,1.2,10,0.448559671,0.650205761
2024,"Miller, Bobby",676272,Dodgers,LAD,R,79.3,87,540,4.95412844,0.161111111,CU,Curveball,55.9,-53.3,2.6,5,8.6,8.3,0.4,5,0.59798995,0.56281407
2024,"Ureña, José",570632,Rangers,TEX,R,96.4,87,1243,11.40366972,0.069991955,FF,4-Seam Fastball,16.8,-14.2,-2.6,-18,12.4,-8.1,4.3,53,0.133838384,0.934343434
2024,"Suarez, José",660761,Angels,LAA,L,91.8,87,712,6.592592593,0.122191011,SI,Sinker,19.5,-24.9,-5.4,-22,15.1,-15.1,-0.1,0,0.039711191,0.36101083
2024,"Blackburn, Paul",621112,Athletics,OAK,R,91.4,87,804,7.309090909,0.108208955,SI,Sinker,22.4,-23.7,-1.3,-6,12.4,-14.6,-2.2,-15,0.386281588,0.115523466
2024,"Muñoz, Roddery",682610,Marlins,MIA,R,89.6,86,1104,10.22222222,0.077898551,CH,Changeup,24.3,-29.7,-5.4,-18,12.9,-14.9,-2,-14,0.037037037,0.135802469
2024,"Long, Sam",669674,Royals,KC,L,77.8,86,374,3.431192661,0.229946524,CU,Curveball,59.8,-55.8,4.1,7,2.6,9.3,-6.7,-72,0.778894472,0.030150754
2024,"López, Jorge",605347,Cubs,CHC,R,83.1,86,629,5.718181818,0.13672496,CU,Curveball,50.3,-48.2,2,4,8.2,8.5,-0.3,-4,0.547738693,0.472361809
2024,"Chirinos, Yonny",630023,Marlins,MIA,R,93,85,515,4.768518519,0.165048544,FF,4-Seam Fastball,17,-14.7,-2.3,-16,9,-6.6,2.5,37,0.161616162,0.825757576
2024,"Wesneski, Hayden",669713,Cubs,CHC,R,88.1,85,998,9.072727273,0.085170341,FC,Cutter,32.3,-27.7,-4.6,-17,5.3,3.3,2,62,0.0375,0.85
2024,"Kerkering, Orion",689147,Phillies,PHI,R,96.2,85,706,6.537037037,0.120396601,SI,Sinker,21.4,-21.7,-0.2,-1,16.2,-15.2,1.1,7,0.537906137,0.711191336
2024,"Saucedo, Tayler",642048,Mariners,SEA,L,82.8,85,480,4.363636364,0.177083333,SL,Slider,39.6,-38.6,1,3,5,6.9,-1.9,-28,0.621710526,0.276315789
2024,"Soto, Gregory",642397,Phillies,PHI,L,98.1,84,649,6.009259259,0.129429892,FF,4-Seam Fastball,15.9,-12.8,-3,-24,11.4,-7.9,3.5,45,0.088383838,0.893939394
2024,"Daniel, Davis",669721,Angels,LAA,R,82.1,84,333,3.083333333,0.252252252,SL,Slider,33.8,-39.6,-5.9,-15,11.7,7.6,4.1,54,0.006578947,0.878289474
2024,"Priester, Quinn",682990,Pirates,PIT,R,88.2,83,722,6.685185185,0.114958449,CH,Changeup,31.6,-30.1,1.5,5,14.1,-14.3,-0.2,-2,0.691358025,0.349794239
2024,"Kittredge, Andrew",552640,Cardinals,STL,R,93.8,83,726,6.722222222,0.114325069,FF,4-Seam Fastball,16.6,-15.2,-1.4,-9,0.9,-7.3,-6.4,-88,0.26010101,0.022727273
2024,"Kolek, Stephen",663568,Padres,SD,R,83.7,83,797,7.245454545,0.104140527,ST,Sweeper,42.2,-37.1,5,13,16.2,13.8,2.4,17,0.941666667,0.816666667
